name,owner,url,stars,age,primary_language,total_releases,index
mall,macrozheng,git@github.com:macrozheng/mall.git,74843,5,{'name': 'Java'},3.0,149
advanced-java,doocs,git@github.com:doocs/advanced-java.git,73880,5,{'name': 'Java'},1.0,150
spring-boot,spring-projects,git@github.com:spring-projects/spring-boot.git,72280,11,{'name': 'Java'},269.0,151
hello-algo,krahets,git@github.com:krahets/hello-algo.git,71994,1,{'name': 'Java'},7.0,152
elasticsearch,elastic,git@github.com:elastic/elasticsearch.git,67155,14,{'name': 'Java'},138.0,153
interviews,kdn251,git@github.com:kdn251/interviews.git,61415,7,{'name': 'Java'},,154
Java,TheAlgorithms,git@github.com:TheAlgorithms/Java.git,56297,7,{'name': 'Java'},,155
spring-framework,spring-projects,git@github.com:spring-projects/spring-framework.git,54805,13,{'name': 'Java'},285.0,156
guava,google,git@github.com:google/guava.git,49237,9,{'name': 'Java'},43.0,157
RxJava,ReactiveX,git@github.com:ReactiveX/RxJava.git,47589,11,{'name': 'Java'},233.0,158
ghidra,NationalSecurityAgency,git@github.com:NationalSecurityAgency/ghidra.git,46922,5,{'name': 'Java'},33.0,159
dubbo,apache,git@github.com:apache/dubbo.git,39918,11,{'name': 'Java'},95.0,160
jadx,skylot,git@github.com:skylot/jadx.git,38561,11,{'name': 'Java'},28.0,161
jeecg-boot,jeecgboot,git@github.com:jeecgboot/jeecg-boot.git,37420,5,{'name': 'Java'},37.0,162
MPAndroidChart,PhilJay,git@github.com:PhilJay/MPAndroidChart.git,37184,9,{'name': 'Java'},44.0,163
dbeaver,dbeaver,git@github.com:dbeaver/dbeaver.git,36960,8,{'name': 'Java'},196.0,164
tutorials,eugenp,git@github.com:eugenp/tutorials.git,35814,10,{'name': 'Java'},,165
hello-algorithm,geekxh,git@github.com:geekxh/hello-algorithm.git,34619,3,{'name': 'Java'},,166
lottie-android,airbnb,git@github.com:airbnb/lottie-android.git,34612,7,{'name': 'Java'},49.0,167
arthas,alibaba,git@github.com:alibaba/arthas.git,34489,5,{'name': 'Java'},52.0,168
glide,bumptech,git@github.com:bumptech/glide.git,34286,10,{'name': 'Java'},47.0,169
AndroidUtilCode,Blankj,git@github.com:Blankj/AndroidUtilCode.git,32866,7,{'name': 'Java'},117.0,170
netty,netty,git@github.com:netty/netty.git,32624,13,{'name': 'Java'},,171
zxing,zxing,git@github.com:zxing/zxing.git,32124,12,{'name': 'Java'},31.0,172
spring-boot-demo,xkcoding,git@github.com:xkcoding/spring-boot-demo.git,31810,6,{'name': 'Java'},,173
halo,halo-dev,git@github.com:halo-dev/halo.git,31030,6,{'name': 'Java'},160.0,174
easyexcel,alibaba,git@github.com:alibaba/easyexcel.git,30707,6,{'name': 'Java'},10.0,175
termux-app,termux,git@github.com:termux/termux-app.git,29919,8,{'name': 'Java'},89.0,176
spring-boot-examples,ityouknow,git@github.com:ityouknow/spring-boot-examples.git,29849,7,{'name': 'Java'},,177
selenium,SeleniumHQ,git@github.com:SeleniumHQ/selenium.git,29085,11,{'name': 'Java'},91.0,178
nacos,alibaba,git@github.com:alibaba/nacos.git,28819,5,{'name': 'Java'},62.0,179
apollo,apolloconfig,git@github.com:apolloconfig/apollo.git,28719,8,{'name': 'Java'},39.0,180
leetcode,doocs,git@github.com:doocs/leetcode.git,28433,5,{'name': 'Java'},19.0,181
NewPipe,TeamNewPipe,git@github.com:TeamNewPipe/NewPipe.git,28176,8,{'name': 'Java'},128.0,182
hutool,dromara,git@github.com:dromara/hutool.git,28144,9,{'name': 'Java'},139.0,183
SpringAll,wuyouzhuguli,git@github.com:wuyouzhuguli/SpringAll.git,27668,5,{'name': 'Java'},,184
druid,alibaba,git@github.com:alibaba/druid.git,27586,12,{'name': 'Java'},50.0,185
canal,alibaba,git@github.com:alibaba/canal.git,27572,11,{'name': 'Java'},29.0,186
spring-cloud-alibaba,alibaba,git@github.com:alibaba/spring-cloud-alibaba.git,27139,6,{'name': 'Java'},38.0,187
kafka,apache,git@github.com:apache/kafka.git,27086,12,{'name': 'Java'},,188
JCSprout,crossoverJie,git@github.com:crossoverJie/JCSprout.git,27073,6,{'name': 'Java'},,189
vhr,lenve,git@github.com:lenve/vhr.git,26885,6,{'name': 'Java'},,190
xxl-job,xuxueli,git@github.com:xuxueli/xxl-job.git,26298,8,{'name': 'Java'},32.0,191
miaosha,qiurunze123,git@github.com:qiurunze123/miaosha.git,26028,5,{'name': 'Java'},,192
fastjson,alibaba,git@github.com:alibaba/fastjson.git,25603,12,{'name': 'Java'},84.0,193
butterknife,JakeWharton,git@github.com:JakeWharton/butterknife.git,25580,11,{'name': 'Java'},,194
toBeTopJavaer,hollischuang,git@github.com:hollischuang/toBeTopJavaer.git,25130,5,{'name': 'Java'},,195
proxyee-down,proxyee-down-org,git@github.com:proxyee-down-org/proxyee-down.git,24985,6,{'name': 'Java'},49.0,196
incubator-seata,apache,git@github.com:apache/incubator-seata.git,24866,5,{'name': 'Java'},39.0,197
Signal-Android,signalapp,git@github.com:signalapp/Signal-Android.git,24795,12,{'name': 'Java'},,198
SmartRefreshLayout,scwang90,git@github.com:scwang90/SmartRefreshLayout.git,24643,6,{'name': 'Java'},12.0,199
EventBus,greenrobot,git@github.com:greenrobot/EventBus.git,24565,11,{'name': 'Java'},7.0,200
Hystrix,Netflix,git@github.com:Netflix/Hystrix.git,23842,11,{'name': 'Java'},79.0,201
Telegram,DrKLO,git@github.com:DrKLO/Telegram.git,23555,10,{'name': 'Java'},89.0,202
ruoyi-vue-pro,YunaiV,git@github.com:YunaiV/ruoyi-vue-pro.git,23222,3,{'name': 'Java'},24.0,203
skywalking,apache,git@github.com:apache/skywalking.git,23115,8,{'name': 'Java'},58.0,204
flink,apache,git@github.com:apache/flink.git,23015,9,{'name': 'Java'},,205
gson,google,git@github.com:google/gson.git,22893,9,{'name': 'Java'},6.0,206
libgdx,libgdx,git@github.com:libgdx/libgdx.git,22596,11,{'name': 'Java'},11.0,207
redisson,redisson,git@github.com:redisson/redisson.git,22562,10,{'name': 'Java'},144.0,208
jenkins,jenkinsci,git@github.com:jenkinsci/jenkins.git,22245,13,{'name': 'Java'},327.0,209
bazel,bazelbuild,git@github.com:bazelbuild/bazel.git,22184,9,{'name': 'Java'},137.0,210
Sentinel,alibaba,git@github.com:alibaba/Sentinel.git,21868,5,{'name': 'Java'},24.0,211
ExoPlayer,google,git@github.com:google/ExoPlayer.git,21417,9,{'name': 'Java'},28.0,212
Mindustry,Anuken,git@github.com:Anuken/Mindustry.git,20844,6,{'name': 'Java'},160.0,213
eladmin,elunez,git@github.com:elunez/eladmin.git,20705,5,{'name': 'Java'},1.0,214
rocketmq,apache,git@github.com:apache/rocketmq.git,20418,7,{'name': 'Java'},18.0,215
FizzBuzzEnterpriseEdition,EnterpriseQualityCoding,git@github.com:EnterpriseQualityCoding/FizzBuzzEnterpriseEdition.git,20356,11,{'name': 'Java'},,216
JavaGuide,Snailclimb,git@github.com:Snailclimb/JavaGuide.git,142029,5,{'name': 'Java'},,217
GitHub-Chinese-Top-Charts,GrowingGit,git@github.com:GrowingGit/GitHub-Chinese-Top-Charts.git,86694,4,{'name': 'Java'},,218
java-design-patterns,iluwatar,git@github.com:iluwatar/java-design-patterns.git,86133,9,{'name': 'Java'},,219
LeetCodeAnimation,MisterBooo,git@github.com:MisterBooo/LeetCodeAnimation.git,74856,5,{'name': 'Java'},,220
mall,macrozheng,git@github.com:macrozheng/mall.git,74843,5,{'name': 'Java'},3.0,221
advanced-java,doocs,git@github.com:doocs/advanced-java.git,73880,5,{'name': 'Java'},1.0,222
spring-boot,spring-projects,git@github.com:spring-projects/spring-boot.git,72280,11,{'name': 'Java'},269.0,223
hello-algo,krahets,git@github.com:krahets/hello-algo.git,71994,1,{'name': 'Java'},7.0,224
elasticsearch,elastic,git@github.com:elastic/elasticsearch.git,67155,14,{'name': 'Java'},138.0,225
interviews,kdn251,git@github.com:kdn251/interviews.git,61415,7,{'name': 'Java'},,226
Java,TheAlgorithms,git@github.com:TheAlgorithms/Java.git,56297,7,{'name': 'Java'},,227
spring-framework,spring-projects,git@github.com:spring-projects/spring-framework.git,54805,13,{'name': 'Java'},285.0,228
guava,google,git@github.com:google/guava.git,49237,9,{'name': 'Java'},43.0,229
RxJava,ReactiveX,git@github.com:ReactiveX/RxJava.git,47589,11,{'name': 'Java'},233.0,230
ghidra,NationalSecurityAgency,git@github.com:NationalSecurityAgency/ghidra.git,46922,5,{'name': 'Java'},33.0,231
dubbo,apache,git@github.com:apache/dubbo.git,39918,11,{'name': 'Java'},95.0,232
jadx,skylot,git@github.com:skylot/jadx.git,38561,11,{'name': 'Java'},28.0,233
jeecg-boot,jeecgboot,git@github.com:jeecgboot/jeecg-boot.git,37420,5,{'name': 'Java'},37.0,234
MPAndroidChart,PhilJay,git@github.com:PhilJay/MPAndroidChart.git,37184,9,{'name': 'Java'},44.0,235
dbeaver,dbeaver,git@github.com:dbeaver/dbeaver.git,36960,8,{'name': 'Java'},196.0,236
tutorials,eugenp,git@github.com:eugenp/tutorials.git,35814,10,{'name': 'Java'},,237
hello-algorithm,geekxh,git@github.com:geekxh/hello-algorithm.git,34619,3,{'name': 'Java'},,238
lottie-android,airbnb,git@github.com:airbnb/lottie-android.git,34612,7,{'name': 'Java'},49.0,239
arthas,alibaba,git@github.com:alibaba/arthas.git,34489,5,{'name': 'Java'},52.0,240
glide,bumptech,git@github.com:bumptech/glide.git,34286,10,{'name': 'Java'},47.0,241
AndroidUtilCode,Blankj,git@github.com:Blankj/AndroidUtilCode.git,32866,7,{'name': 'Java'},117.0,242
netty,netty,git@github.com:netty/netty.git,32624,13,{'name': 'Java'},,243
zxing,zxing,git@github.com:zxing/zxing.git,32124,12,{'name': 'Java'},31.0,244
spring-boot-demo,xkcoding,git@github.com:xkcoding/spring-boot-demo.git,31810,6,{'name': 'Java'},,245
halo,halo-dev,git@github.com:halo-dev/halo.git,31030,6,{'name': 'Java'},160.0,246
easyexcel,alibaba,git@github.com:alibaba/easyexcel.git,30707,6,{'name': 'Java'},10.0,247
termux-app,termux,git@github.com:termux/termux-app.git,29919,8,{'name': 'Java'},89.0,248
spring-boot-examples,ityouknow,git@github.com:ityouknow/spring-boot-examples.git,29849,7,{'name': 'Java'},,249
selenium,SeleniumHQ,git@github.com:SeleniumHQ/selenium.git,29085,11,{'name': 'Java'},91.0,250
nacos,alibaba,git@github.com:alibaba/nacos.git,28819,5,{'name': 'Java'},62.0,251
apollo,apolloconfig,git@github.com:apolloconfig/apollo.git,28719,8,{'name': 'Java'},39.0,252
leetcode,doocs,git@github.com:doocs/leetcode.git,28433,5,{'name': 'Java'},19.0,253
NewPipe,TeamNewPipe,git@github.com:TeamNewPipe/NewPipe.git,28176,8,{'name': 'Java'},128.0,254
hutool,dromara,git@github.com:dromara/hutool.git,28144,9,{'name': 'Java'},139.0,255
SpringAll,wuyouzhuguli,git@github.com:wuyouzhuguli/SpringAll.git,27668,5,{'name': 'Java'},,256
druid,alibaba,git@github.com:alibaba/druid.git,27586,12,{'name': 'Java'},50.0,257
canal,alibaba,git@github.com:alibaba/canal.git,27572,11,{'name': 'Java'},29.0,258
spring-cloud-alibaba,alibaba,git@github.com:alibaba/spring-cloud-alibaba.git,27139,6,{'name': 'Java'},38.0,259
kafka,apache,git@github.com:apache/kafka.git,27086,12,{'name': 'Java'},,260
JCSprout,crossoverJie,git@github.com:crossoverJie/JCSprout.git,27073,6,{'name': 'Java'},,261
vhr,lenve,git@github.com:lenve/vhr.git,26885,6,{'name': 'Java'},,262
xxl-job,xuxueli,git@github.com:xuxueli/xxl-job.git,26298,8,{'name': 'Java'},32.0,263
miaosha,qiurunze123,git@github.com:qiurunze123/miaosha.git,26028,5,{'name': 'Java'},,264
fastjson,alibaba,git@github.com:alibaba/fastjson.git,25603,12,{'name': 'Java'},84.0,265
butterknife,JakeWharton,git@github.com:JakeWharton/butterknife.git,25580,11,{'name': 'Java'},,266
toBeTopJavaer,hollischuang,git@github.com:hollischuang/toBeTopJavaer.git,25130,5,{'name': 'Java'},,267
proxyee-down,proxyee-down-org,git@github.com:proxyee-down-org/proxyee-down.git,24985,6,{'name': 'Java'},49.0,268
incubator-seata,apache,git@github.com:apache/incubator-seata.git,24866,5,{'name': 'Java'},39.0,269
Signal-Android,signalapp,git@github.com:signalapp/Signal-Android.git,24795,12,{'name': 'Java'},,270
SmartRefreshLayout,scwang90,git@github.com:scwang90/SmartRefreshLayout.git,24643,6,{'name': 'Java'},12.0,271
EventBus,greenrobot,git@github.com:greenrobot/EventBus.git,24565,11,{'name': 'Java'},7.0,272
